Entity,Year,Temperature anomaly,Oceanic Niño Index (ONI) anomaly
September,1966,-0.6010771,0.13
September,1967,-0.58196354,-0.26
September,1968,-0.7426176,0.38
September,1969,-0.5782232,0.41
September,1970,-0.6132612,-0.72
September,1971,-0.6799574,-0.6
September,1972,-0.5491123,1.26
September,1973,-0.5928221,-1.11
September,1974,-0.7940941,-0.4
September,1975,-0.8397846,-1.12
September,1976,-0.6972208,0.4
September,1977,-0.6454325,0.35
September,1978,-0.6847372,-0.37
September,1979,-0.376359,0.22
September,1980,-0.36777592,-0.06
September,1981,-0.33603668,-0.23
September,1982,-0.46557617,0.99
September,1983,-0.19696712,-0.06
September,1984,-0.48609352,-0.22
September,1985,-0.5208702,-0.33
September,1986,-0.52695084,0.46
September,1987,-0.22409725,1.46
September,1988,-0.1873064,-1.14
September,1989,-0.28293705,-0.36
September,1990,-0.23057461,0.32
September,1991,-0.20186901,0.67
September,1992,-0.6091318,0.08
September,1993,-0.51664925,0.22
September,1994,-0.23872185,0.3
September,1995,-0.20063305,-0.55
September,1996,-0.32755566,-0.27
September,1997,-0.06467819,1.79
September,1998,-0.05279255,-0.83
September,1999,-0.20069408,-0.94
September,2000,-0.23873329,-0.4
September,2001,-0.07816315,-0.13
September,2002,0.005221367,0.63
September,2003,0.07381439,0.14
September,2004,-0.040070534,0.54
September,2005,0.12966347,-0.14
September,2006,0.04808998,0.33
September,2007,-0.089821815,-0.77
September,2008,-0.030119896,-0.2
September,2009,0.103710175,0.56
September,2010,0.099030495,-1.24
September,2011,0.047351837,-0.5
September,2012,0.11289787,0.39
September,2013,0.16967964,-0.34
September,2014,0.18443108,0.07
September,2015,0.26686192,1.73
September,2016,0.35773182,-0.34
September,2017,0.2795391,-0.07
September,2018,0.1994009,0.3
September,2019,0.3787241,0.2
September,2020,0.4334898,-0.43
September,2021,0.40136528,-0.46
September,2022,0.3493948,-0.78
September,2023,0.9306059,1.25
September,2024,0.7279062,-0.04
September,2025,0.6621523,-0.26
